id,Job_Type,Short,Element,Work_Categories,Work_Sub_Category_Types,Work_Sub_Category_Attributes,Medium
231027,SOAKER,RENEW OR REFIX LEAD,ROOFING,Leadwork,Lead Roof Coverings and Flashings,Code 16,"Soaker:Take off lead soaker, set aside, refix or renew lead soaker ne 250x330mm, including all necessary labours."
231031,ROOF,RENEW LEAD ROOF COVERING,ROOFING,Leadwork,Lead Roof Coverings and Flashings,Code 17,"Roof:Renew lead roof covering including remove old lead, cut, fit and dress new roof covering including all nailing and caps, drips, welted edges, bossed ends and intersections, all labours."
231033,PORCH,RENEW LEAD COVERING TO PORCH,ROOFING,Leadwork,Lead Roof Coverings and Flashings,Code 18,"Porch:Renew lead covering to porch including remove old lead, cut, fit and dress new covering including all nailing and caps, drips, welted edges, bossed ends, intersections and all labours."
231035,DORMERS,RENEW LEAD TO DORMERS,ROOFING,Leadwork,Lead Roof Coverings and Flashings,Code 19,"Dormers:Renew lead covering to dormers including remove old lead, cut, fit and dress new covering including all nailing and caps, drips, welted edges, bossed ends, intersections and all labours."
231037,BOW/BAY,RENEW LEAD FLAT ROOF NE 3.0SM,ROOFING,Leadwork,Lead Roof Coverings and Flashings,Code 20,"Bow/Bay:Renew lead covering to flat bow/bay roof ne 3.00sm, remove old lead, cut, fit dress new covering with all nailing, caps, drips, welted edges, bossed ends, dressings, all labours."
231039,BOW/BAY,RENEW LEAD SLOPING ROOF NE 3.0SM,ROOFING,Leadwork,Lead Roof Coverings and Flashings,Code 21,"Bow/Bay:Renew lead covering to sloping bow/bay roof ne 3.00sm, remove old lead, cut, fit, dress new covering with all nailing caps, drips, welted edges, bossed ends, dressings, all labours."
298001,CLIENT INSPECTION,ROOFING,ROOFING,Miscellaneous Works,Roofing,Client Inspection,"Client Inspection:Undertake client inspection, testing etc in connection with roofing, report to Client Representative (any repairs required to be ordered must be instructed by CR)."
301103,JOIST,RENEW NE 100MM DEEP TO FLOOR,CARPENTRY AND JOINERY,Floors Roofs and Partitions,Floors,,"Joist:Renew softwood floor joist ne 100mm deep to match existing, clear away existing, fix with all packings, cleats, hangers, noggins, solid strutting etc., cut out and make good brickwork."
301107,JOIST,RENEW NE 225MM DEEP TO FLOOR,CARPENTRY AND JOINERY,Floors Roofs and Partitions,Floors,,"Joist:Renew softwood floor joist ne 225mm deep to match existing, clear away existing, fix with all packings, cleats, hangers, noggins, solid strutting etc., cut out and make good brickwork"
301109,JOIST,LEVEL JOIST WITH PACKINGS,CARPENTRY AND JOINERY,Floors Roofs and Partitions,Floors,,"Joist:Level joist by inserting packings including take up, refix floorboards, make good any finishes remove, refix any furniture, carpets (msd per joist) (not to be claimed with joist renewal)."
301122,FLOOR,STRIP OUT FLOOR AND SLEEPERS,CARPENTRY AND JOINERY,Floors Roofs and Partitions,Floors,,"Floor:Strip out defective timber floor complete with any redundant service installation attached or passing through floor, demolish sleeper walls down to sub-floor level, make good, remove spoil."
301123,FLOOR,RENEW GROUND FLOOR COMPLETE,CARPENTRY AND JOINERY,Floors Roofs and Partitions,Floors,,"Floor:Strip out existing floor and sleeper walls, remove void debris, build sleeper walls, softwood floor with 22mm floorboards, ne 50x125mm joists, ne 50x100mm wall plates, dpc, remove spoil."
301125,FLOOR,RENEW SOFTWOOD FLOOR COMPLETE,CARPENTRY AND JOINERY,Floors Roofs and Partitions,Floors,,"Floor:Renew softwood floor comprising 22mm floor boards, ne 50x125mm joists, ne 50x100mm wall plates, dpc, galvanised joist hangers, cut in and primed, remove spoil."
301127,FLOOR,RENEW SOFTWOOD UPPER FLOOR COMPLETE,CARPENTRY AND JOINERY,Floors Roofs and Partitions,Floors,,"Floor:Renew softwood upper floor comprising 22mm floorboards, ne 50x175mm joists, and ne 50100mm wall plates, dpc, 25x50mm strutting, galvanised joist hangers, cut in and primed, remove spoil."
301129,FLOOR,CONSTRUCT SOFTWOOD FLOOR,CARPENTRY AND JOINERY,Floors Roofs and Partitions,Floors,,"Floor:Construct softwood floor comprising 22mm floorboards, ne 50x125mm joists and ne 50x100mm wall plates, dpc, galvanised joist hangers, cut and primed in, remove spoil."
301131,FLOOR,CONSTRUCT SOFTWOOD UPPER FLOOR,CARPENTRY AND JOINERY,Floors Roofs and Partitions,Floors,,"Floor:Construct softwood upper floor comprising 22mm floor boards, ne 50x175mm joists and ne 50x100mm wall plates, dpc, 25x50mm strutting, trimming openings, joists hangers, remove spoil."
301301,PARTITION,ERECT TIMBER STUD AND PLASTERBOARD BF,CARPENTRY AND JOINERY,Floors Roofs and Partitions,Wall or Partitions,,"Partition:Erect or renew stud partition comprising ne 50x100mm members fixed to walls, pack out, scribe, 12.5mm taper edged plasterboard scrim jointed and all labours to both faces."
301303,PARTITION,ERECT TIMBER STUD PLASTERBOARD SKIM BF,CARPENTRY AND JOINERY,Floors Roofs and Partitions,Wall or Partitions,,"Partition:Erect or renew stud partition comprising ne 50x100mm members fixed to walls, pack out and scribe, 12.5mm butt jointed plasterboard and 3mm plaster skim coat and all labours to both faces."
301305,PARTITION,INSTALL INSULATION INFILL NE 100MM,CARPENTRY AND JOINERY,Floors Roofs and Partitions,Wall or Partitions,,Partition:Supply and install insulation infill ne 100mm thick to stud partition.
301307,PARTITION,SOUND INFILL 75MM,CARPENTRY AND JOINERY,Floors Roofs and Partitions,Wall or Partitions,,Partition:Supply and install sound insulation infill 75mm thick to stud partition.
301311,PARTITION,ERECT METAL STUD AND PLASTERBOARD BF,CARPENTRY AND JOINERY,Floors Roofs and Partitions,Wall or Partitions,,"Partition:Erect or renew proprietary metal stud system fixed to walls, 12.5mm plasterboard scrim joints, all labours to both faces."
301313,PARTITION,METAL STUD PLASTERBOARD SKIM BF,CARPENTRY AND JOINERY,Floors Roofs and Partitions,Wall or Partitions,,"Partition:Erect or renew proprietary metal stud system fixed to walls, 12.5mm plasterboard and 3mm plaster skim coat and all labours to both faces."
301315,PARTITION,FILL IN OPENING IN TIMBER STUDDING,CARPENTRY AND JOINERY,Floors Roofs and Partitions,Wall or Partitions,,"Partition:Fill in existing opening in stud partition with ne 50x100mm members fixed to walls, pack out, scribe, 12.5mm taper edged plasterboard scrim jointed, labours, skirting to both faces."
301317,PARTITION,FORM OPENING IN TIMBER STUDDING,CARPENTRY AND JOINERY,Floors Roofs and Partitions,Wall or Partitions,,"Partition:Cut or form opening in plastered stud partition, frame up opening with 50x100mm members fixed to walls, make good plasterboard, 3mm skim coat, extend flooring make good, remove spoil."
301501,PLATE,RENEW 75X100MM WALL PLATE,CARPENTRY AND JOINERY,Floors Roofs and Partitions,Wall Plates,,"Plate:Renew pressure impregnated sawn softwood wall plate ne 75x100mm, bedded in cement mortar (1:3) and apply preservative to cut ends, remove spoil."
301503,PLATE,RENEW 75X100MM WALL PLATE AND DPC,CARPENTRY AND JOINERY,Floors Roofs and Partitions,Wall Plates,,"Plate:Renew pressure impregnated sawn softwood wall plate ne 75x100mm, bedded in cement mortar (1:3, apply preservative to cut ends, polypropylene dpc 138mm girth, remove spoil."
301701,RAFTER,RENEW NE 175MM RAFTER OR JOIST,CARPENTRY AND JOINERY,Floors Roofs and Partitions,Roof Members,,"Rafter:Renew rafter/roof joist, ne 175mm deep to match existing in roof space, cut to length, apply preservative to cut ends, cut out, make good brickwork, bolted to existing roof timbers."
301703,COLLAR/STRUT,RENEW NE 175MM THICK,CARPENTRY AND JOINERY,Floors Roofs and Partitions,Roof Members,,"Collar/Strut:Renew collar or strut, ne 175mm thick in roof space, cut to length, apply preservative to cut ends, cut out make good brickwork, bolted to existing roof timbers."
301901,HANGER,RENEW GALVANISED JOIST HANGER,CARPENTRY AND JOINERY,Floors Roofs and Partitions,Joist Hangers,,"Hanger:Renew galvanised joist hanger, cut out, bed in mortar and make good brickwork, renew in conjunction with joist repairs."
301903,HANGER,CUT OUT AND INSERT JOIST HANGER,CARPENTRY AND JOINERY,Floors Roofs and Partitions,Joist Hangers,,"Hanger:Cut out and insert galvanised joist hanger to correct floor alignment, bed in mortar, pin, make good brickwork, renew in conjunction with floor or joist repairs."
303001,FASCIA,RENEW IN SOFTWOOD NE 300MM,CARPENTRY AND JOINERY,Fascia Soffit and Bargeboards,"Fascias, Soffit and Bargeboards",Timber,"Fascia/Barge:Renew fascia or barge with treated softwood, ne 300mm wide, fixed to roof timbers, remove, refix rainwater goods and any cabling, adjust roof tiles and felt, decorate."
303003,FASCIA,RENEW IN WBP PLYWOOD NE 300MM,CARPENTRY AND JOINERY,Fascia Soffit and Bargeboards,"Fascias, Soffit and Bargeboards",Timber,"Fascia/Barge:Renew fascia or barge with WPB plywood, ne 300mm wide, fixed to roof timbers, remove, refix rainwater goods and any cabling, adjust roof tiles and felt, decorate."
303005,FASCIA/BARGE,RENEW IN PVCU NE 300MM,CARPENTRY AND JOINERY,Fascia Soffit and Bargeboards,"Fascias, Soffit and Bargeboards",PVCu,"Fascia/Barge:Renew fascia or bargeboard with proprietary PVCu board ne 300mm wide fixed to roof timbers, remove, refix rainwater goods and any cabling, adjust roof tiles and felt."
303007,SOFFIT,RENEW IN SOFTWOOD NE 450MM,CARPENTRY AND JOINERY,Fascia Soffit and Bargeboards,"Fascias, Soffit and Bargeboards",Timber,Soffit:Renew soffit board with treated softwood ne 450mm wide including renew noggins as necessary fixed to roof timbers and refix cables and decorate to match existing.
303009,SOFFIT,RENEW IN PLYWOOD NE 450MM,CARPENTRY AND JOINERY,Fascia Soffit and Bargeboards,"Fascias, Soffit and Bargeboards",Timber,Soffit:Renew soffit board with WPB plywood ne 450mm wide including renew noggins as necessary fixed to roof timbers and refix cables and decorate to match existing.
303011,SOFFIT,RENEW IN MASTERBOARD NE 450MM,CARPENTRY AND JOINERY,Fascia Soffit and Bargeboards,"Fascias, Soffit and Bargeboards",Timber,Soffit:Renew soffit board with masterboard ne 450mm wide including renew noggins as necessary fixed to roof timbers and refix cables and decorate to match existing.
303013,SOFFIT,RENEW IN PVCU NE 450MM,CARPENTRY AND JOINERY,Fascia Soffit and Bargeboards,"Fascias, Soffit and Bargeboards",PVCu,"Soffit:Renew soffit board with PVCu board ne 450mm wide including remove existing, renew noggins as necessary and fix new board to roof timbers and refix cables."
303015,FASCIA/SOFFIT/BARGE,REFIX,CARPENTRY AND JOINERY,Fascia Soffit and Bargeboards,"Fascias, Soffit and Bargeboards",Timber,"Fascia/Soffit/Barge:Refix any size fascia, soffit or bargeboard to existing roof timbers including remove, refix rainwater goods, cabling, renewal of support battens, all cutting, packing, make good."
303017,BOXED END,RENEW TO FASCIA AND SOFFIT,CARPENTRY AND JOINERY,Fascia Soffit and Bargeboards,"Fascias, Soffit and Bargeboards",Timber,"Boxed End:Renew boxed end to fascia and soffit including renew timber supports, new WPB plywood soffit, fascia etc, all cutting shaping, jointing to existing fascias, soffits etc, decorate."
303019,BOXED END,RENEW IN PVCU TO FASCIA AND SOFFIT,CARPENTRY AND JOINERY,Fascia Soffit and Bargeboards,"Fascias, Soffit and Bargeboards",PVCu,"Boxed End:Renew boxed end to fascia and soffit including renew timber supports with proprietary PVCu board soffit, fascia etc, all cutting and shaping, jointing to existing fascias, soffits."
303101,GUTTER,RENEW NE 150X100MM TIMBER,CARPENTRY AND JOINERY,Fascia Soffit and Bargeboards,Rainwater Gutters,Timber,"Gutter:Renew in ne 150x100mm moulded timber gutter including support brackets fixed to fascia, all cutting, make joints, line, level and connections to existing guttering."
303102,GUTTER,REALIGN TIMBER GUTTER,CARPENTRY AND JOINERY,Fascia Soffit and Bargeboards,Rainwater Gutters,Timber,"Gutter:Take down any timber gutter, remove and refix brackets to fascia and refix gutter to brackets including all angles, outlets, stop ends and remake all joints."
303103,GUTTER,FORM STOP END,CARPENTRY AND JOINERY,Fascia Soffit and Bargeboards,Rainwater Gutters,Timber,Gutter:Form stop end to timber gutter.
303104,GUTTER,FORM OUTLET,CARPENTRY AND JOINERY,Fascia Soffit and Bargeboards,Rainwater Gutters,Timber,"Gutter:Cut hole in timber gutter, form outlet and fix nozzle/spitter."
303105,GUTTER,RENEW CAST IRON BRACKET TO TIMBER GUTTER,CARPENTRY AND JOINERY,Fascia Soffit and Bargeboards,Rainwater Gutters,Timber,Gutter:Renew cast iron bracket of any profile including remake joints and line and level.
303106,GUTTER,RENEW TIMBER BRACKET,CARPENTRY AND JOINERY,Fascia Soffit and Bargeboards,Rainwater Gutters,Timber,Gutter:Renew timber bracket of any profile including remake joints and line and level.
305822,ROOF,CHEMICAL TREAT TIMBER,SPECIALIST TREATMENTS,Timber Treatment,Roof Treatment,,"Roof:Remove and set aside Tenants personal affects stored items, insulation in loft area, pressure spray applications of approved chemical wood preservative, to timber, reinstate."
305824,ROOF,PRESERVATIVE GUARANTEE,SPECIALIST TREATMENTS,Timber Treatment,Roof Treatment,,Roof:Provision of 30 year insurance backed guarantee for roof timber preservation treatment.
305836,ROOF,WOODWORM TIMBER,SPECIALIST TREATMENTS,Timber Treatment,Roof Treatment,,"Roof:Remove and set aside Tenants personal affects stored items, insulation in loft area, undertake woodworm treatment by approved Sub-Contractor to accessible structural timbers, reinstate"
305838,ROOF,WOODWORM GUARANTEE,SPECIALIST TREATMENTS,Timber Treatment,Roof Treatment,,Roof:Provision of 30 year insurance backed guarantee for roof timber woodworm treatment.
307101,CLADDING,RENEW 19MM SHIPLAP NE 2.0SM,CARPENTRY AND JOINERY,External Cladding,Cladding,Timber Weatherboarding - Shiplap,"Cladding:Remove existing and renew with 19mm treated shiplap boarding in areas ne 2.00sm, all labours, fixed to existing framework, renew defective battens, decorate to match."
307103,CLADDING,RENEW 19MM SHIPLAP OVER 2.0SM,CARPENTRY AND JOINERY,External Cladding,Cladding,Timber Weatherboarding - Shiplap,"Cladding:Remove existing and renew with 19mm treated shiplap boarding in areas over 2.00sm, all labours, fixed to existing framework, renew defective battens, decorate to match."
307105,CLADDING,REFIX LOOSE SHIPLAP FEATHER EDGE OR TG V,CARPENTRY AND JOINERY,External Cladding,Cladding,Timber Weatherboarding - Shiplap,"Cladding:Refix loose timber shiplap, feather edge or T, G and V jointed boarding to existing framework including renewal of any support battens required and make good decorations."
307301,CLADDING,RENEW FEATHER EDGE NE 2.0SM,CARPENTRY AND JOINERY,External Cladding,Cladding,Timber Weatherboarding - Feather Edge,"Cladding:Remove existing and renew with 19mm treated feather edge boarding in areas ne 2.00sm, all labours, fixed to existing framework, renew defective battens, decorate to match."
307303,CLADDING,RENEW FEATHER EDGE OVER 2.0SM,CARPENTRY AND JOINERY,External Cladding,Cladding,Timber Weatherboarding - Feather Edge,"Cladding:Remove existing and renew with 19mm treated feather edge boarding in areas over 2.00sm, all labours, fixed to existing framework, renew defective battens, decorate to match."
307501,CLADDING,RENEW T G AND V JOINT NE 2.0SM,CARPENTRY AND JOINERY,External Cladding,Cladding,"Timber Weatherboard - Softwood Tongued, Grooved and V Jointed","Cladding:Remove existing and renew with 19mm treated T, G and V jointed boarding in areas ne 2.00sm, all labours, fixed to existing framework, renew defective battens, decorate to match."
307503,CLADDING,RENEW T G AND V JOINT OVER 2.0SM,CARPENTRY AND JOINERY,External Cladding,Cladding,"Timber Weatherboard - Softwood Tongued, Grooved and V Jointed","Cladding:Remove existing boarding and renew with 19mm treated T, G and V jointed boarding in areas over 2.00sm, all labours, fixed to existing framework, renew defective battens, decorate to match."
307701,CLADDING,RENEW PVC SHIPLAP NE 2.0SM,CARPENTRY AND JOINERY,External Cladding,Cladding,Plastic Profiled Sheet Cladding - Shiplap,"Cladding:Remove existing defective PVC shiplap cladding, renew in areas ne 2.00sm, all trims, channels and jointing, fixed to existing framework, renew defective support battens."
307703,CLADDING,RENEW PVC SHIPLAP OVER 2.0SM,CARPENTRY AND JOINERY,External Cladding,Cladding,Plastic Profiled Sheet Cladding - Shiplap,"Cladding:Remove existing and renew with cellular cored PVC shiplap boarding, in areas over 2.00sm, all trims, channels and jointing, fixed to existing framework, renew defective support battens."
307705,CLADDING,REFIX LOOSE PVC SHIPLAP OR TGV,CARPENTRY AND JOINERY,External Cladding,Cladding,Plastic Profiled Sheet Cladding - Shiplap,"Cladding:Refix loose PVC shiplap or T, G and V jointed cladding to existing framework including renewal of support battens required and all trims, channels and jointing."
310101,WINDOW,RENEW STANDARD SOFTWOOD CASEMENT 1 LIGHT,CARPENTRY AND JOINERY,Windows,Windows,Casement - Standard Softwood Double Glazed,"Window:Renew any window with standard softwood casement window with softwood cill, double glazed weatherstripping, ironmongery, make good, decorate, 1 No. opening light."
310105,WINDOW,RENEW STANDARD SOFTWOOD CASEMENT 2 LIGHT,CARPENTRY AND JOINERY,Windows,Windows,Casement - Standard Softwood Double Glazed,"Window:Renew any window with standard softwood casement window with softwood cill, double glazed weatherstripping, ironmongery, make good, decorate, 2 No. opening light."
310109,WINDOW,RENEW STANDARD SOFTWOOD CASEMENT 3 LIGHT,CARPENTRY AND JOINERY,Windows,Windows,Casement - Standard Softwood Double Glazed,"Window:Renew any window with standard softwood casement window with softwood cill, double glazed weatherstripping, ironmongery, make good, decorate, 3 No. opening light."
310113,WINDOW,RENEW STANDARD SOFTWOOD CASEMENT 4 LIGHT,CARPENTRY AND JOINERY,Windows,Windows,Casement - Standard Softwood Double Glazed,"Window:Renew any window with standard softwood casement window with softwood cill, double glazed weatherstripping, ironmongery, make good, decorate, 4 No. opening light."
310301,WINDOW,RENEW PURPOSE SOFTWOOD CASEMENT 1 LIGHT,CARPENTRY AND JOINERY,Windows,Windows,Casement - Purpose Made Softwood Double Glazed,"Window:Renew any window with purpose made softwood casement window with softwood cill, double glazed weatherstripping, ironmongery, make good, decorate 1 No. opening light."
310305,WINDOW,RENEW PURPOSE SOFTWOOD CASEMENT 2 LIGHT,CARPENTRY AND JOINERY,Windows,Windows,Casement - Purpose Made Softwood Double Glazed,"Window:Renew any window with purpose made softwood casement window with softwood cill, double glazed weatherstripping, ironmongery, make good, decorate 2 No. opening light."
310309,WINDOW,RENEW PURPOSE SOFTWOOD CASEMENT 3 LIGHT,CARPENTRY AND JOINERY,Windows,Windows,Casement - Purpose Made Softwood Double Glazed,"Window:Renew any window with purpose made softwood casement window with softwood cill, double glazed weatherstripping, ironmongery, make good, decorate 3 No. opening light."
310313,WINDOW,RENEW PURPOSE SOFTWOOD CASEMENT 4 LIGHT,CARPENTRY AND JOINERY,Windows,Windows,Casement - Purpose Made Softwood Double Glazed,"Window:Renew any window with purpose made softwood casement window with softwood cill, double glazed weatherstripping, ironmongery, make good, decorate 4 No. opening light."
310501,WINDOW,RENEW SOFTWOOD BOX SASH,CARPENTRY AND JOINERY,Windows,Windows,Box Sash - Pupose Made Softwood Double Glazed,"Window:Renew window with purpose made softwood double hung cased box frame and sashes complete with ironmongery, weatherstripping, double glazed, make good, decorate."
310701,WINDOW,RENEW SOFTWOOD HORIZONTAL PIVOT,CARPENTRY AND JOINERY,Windows,Windows,Horizontal Pivot Hung - Purpose Made Softwood Double Glazed,"Window:Renew window with purpose made softwood horizontal pivot hung window complete with ironmongery, double glazed, weatherstripping, make good, decorate."
311101,WINDOW,RENEW STANDARD HARDWOOD CASEMENT 1 LIGHT,CARPENTRY AND JOINERY,Windows,Windows,Casement - Standard Hrdwood Double Glazed,"Window:Renew any window with standard hardwood casement window with hardwood cill, double glazed weatherstripping, ironmongery, make good, decorate, 1 No. opening light."
311105,WINDOW,RENEW STANDARD HARDWOOD CASEMENT 2 LIGHT,CARPENTRY AND JOINERY,Windows,Windows,Casement - Standard Hrdwood Double Glazed,"Window:Renew any window with standard hardwood casement window with hardwood cill, double glazed weatherstripping, ironmongery, make good, decorate, 2 No. opening light."
311109,WINDOW,RENEW STANDARD HARDWOOD CASEMENT 3 LIGHT,CARPENTRY AND JOINERY,Windows,Windows,Casement - Standard Hrdwood Double Glazed,"Window:Renew any window with standard hardwood casement window with hardwood cill, double glazed weatherstripping, ironmongery, make good, decorate, 3 No. opening light."
311113,WINDOW,RENEW STANDARD HARDWOOD CASEMENT 4 LIGHT,CARPENTRY AND JOINERY,Windows,Windows,Casement - Standard Hrdwood Double Glazed,"Window:Renew any window with standard hardwood casement window with hardwood cill, double glazed weatherstripping, ironmongery, make good, decorate, 4 No. opening light."
311301,WINDOW,RENEW PURPOSE HARDWOOD CASEMENT 1 LIGHT,CARPENTRY AND JOINERY,Windows,Windows,Casement - Purpose Made Hardwood Double Glazed,"Window:Renew any window with purpose made hardwood casement window with hardwood cill, double glazed weatherstripping, ironmongery, make good, decorate, 1 No. opening light."
311305,WINDOW,RENEW PURPOSE HARDWOOD CASEMENT 2 LIGHT,CARPENTRY AND JOINERY,Windows,Windows,Casement - Purpose Made Hardwood Double Glazed,"Window:Renew any window with purpose made hardwood casement window with hardwood cill, double glazed weatherstripping, ironmongery, make good, decorate, 2 No. opening light."
311309,WINDOW,RENEW PURPOSE HARDWOOD CASEMENT 3 LIGHT,CARPENTRY AND JOINERY,Windows,Windows,Casement - Purpose Made Hardwood Double Glazed,"Window:Renew any window with purpose made hardwood casement window with hardwood cill, double glazed weatherstripping, ironmongery, make good, decorate, 3 No. opening lights."
311313,WINDOW,RENEW PURPOSE HARDWOOD CASEMENT 4 LIGHT,CARPENTRY AND JOINERY,Windows,Windows,Casement - Purpose Made Hardwood Double Glazed,"Window:Renew any window with purpose made hardwood casement window with hardwood cill, double glazed weatherstripping, ironmongery, make good, decorate, 4 No. opening lights."
311501,WINDOW,RENEW HARDWOOD BOX SASH,CARPENTRY AND JOINERY,Windows,Windows,Box Sash - Pupose Made Hardwood Double Glazed,"Window:Renew window with purpose made hardwood double hung cased box frame and sashes complete with ironmongery, weatherstripping, double glazed, make good, decorate."
311701,WINDOW,RENEW HARDWOOD HORIZONTAL PIVOT,CARPENTRY AND JOINERY,Windows,Windows,Horizontal Pivot Hung - Purpose Made Hardwood,"Window:Renew window with purpose made hardwood horizontal pivot hung window complete with ironmongery, double glazed, weatherstripping, make good, decorate."
312001,WINDOW,RENEW SOFTWOOD FEATURE,CARPENTRY AND JOINERY,Windows,Windows,Feature - Softwood,"Window:Renew any window with standard softwood combination feature window ne 5.00sm with double glazed fixed, opening lights and panels, make good ironmongery, weatherstripping, decorate to match."
313001,WINDOW,RENEW HARDWOOD FEATURE,CARPENTRY AND JOINERY,Windows,Windows,Feature - Hardwood,"Window:Renew any window with standard hardwood combination feature window ne 5.00sm with double glazed fixed, opening lights and panels, make good ironmongery, weatherstripping, decorate to match."
313501,WINDOW,RENEW WITH PVCU PIVOT,CARPENTRY AND JOINERY,Windows,Windows,Horizontal Pivot Hung - Purpose Made PVCu,"Window:Renew any type window with purpose made PVCu factory glazed horizontal pivot hung window complete with cill, double glazed, ironmongery, weatherstripping, make good."
313601,WINDOW,RENEW WITH PVCU CASEMENT 1 LIGHT,CARPENTRY AND JOINERY,Windows,Windows,Casement -Purpose Made PVCu,"Window:Renew any type window with purpose made PVCu factory glazed casement window with cill, double glazed, weatherstripping, ironmongery make good, 1 No. opening light."
313605,WINDOW,RENEW WITH PVCU CASEMENT 2 LIGHT,CARPENTRY AND JOINERY,Windows,Windows,Casement -Purpose Made PVCu,"Window:Renew any type window with purpose made PVCu factory glazed casement window with cill, double glazed, weatherstripping, ironmongery make good, 2 No. opening lights."
313609,WINDOW,RENEW WITH PVCU CASEMENT 3 LIGHT,CARPENTRY AND JOINERY,Windows,Windows,Casement -Purpose Made PVCu,"Window:Renew any type window with purpose made PVCu factory glazed casement window with cill, double glazed, weatherstripping, ironmongery make good, 3 No. opening lights."
313613,WINDOW,RENEW WITH PVCU CASEMENT 4 LIGHT,CARPENTRY AND JOINERY,Windows,Windows,Casement -Purpose Made PVCu,"Window:Renew any type window with purpose made PVCu factory glazed casement window with cill, double glazed, weatherstripping, ironmongery make good, 4 No. opening lights."
313701,WINDOW,RENEW WITH PVCU TILT TURN 1 LIGHT,CARPENTRY AND JOINERY,Windows,Windows,Tilt and Turn - Purpose Made PVCu,"Window:Renew any type window with purpose made PVCu factory glazed tilt/turn window with cill, double glazed, weatherstripping, ironmongery make good, 1 No. opening light,"
313705,WINDOW,RENEW WITH PVCU TILT TURN 2 LIGHT,CARPENTRY AND JOINERY,Windows,Windows,Tilt and Turn - Purpose Made PVCu,"Window:Renew any type window with purpose made PVCu factory glazed tilt/turn window with cill, double glazed, weatherstripping, ironmongery make good, 2 No. opening light,"
313709,WINDOW,RENEW WITH PVCU TILT TURN 3 LIGHT,CARPENTRY AND JOINERY,Windows,Windows,Tilt and Turn - Purpose Made PVCu,"Window:Renew any type window with purpose made PVCu factory glazed tilt/turn window with cill, double glazed, weatherstripping, ironmongery make good, 3 No. opening light,"
313713,WINDOW,RENEW WITH PVCU TILT TURN 4 LIGHT,CARPENTRY AND JOINERY,Windows,Windows,Tilt and Turn - Purpose Made PVCu,"Window:Renew any type window with purpose made PVCu factory glazed tilt/turn window with cill, double glazed, weatherstripping, ironmongery make good, 4 No. opening light,"
314005,WINDOW,EXTRA FOR DOUBLE GLAZING IN REPAIRS,CARPENTRY AND JOINERY,Windows,Windows,Timber - Repairs,"Window:Extra for provide and fix any combination of double glazed units in lieu of single glazing to renewed timber window sashes, casements and the like (measured per nett square metre glass area)."
315001,WINDOW,EASE AND ADJUST INCLUDING REMOVE,CARPENTRY AND JOINERY,Windows,Windows,Timber - Repairs,"Window:Ease any size and type of opening sash, pivot sash, sliding sash including remove, refix sash, beads etc, oil, adjust hinges, ironmongery, touch up decoration, test for effective operation."
315007,WINDOW,RENEW NE 0.9X0.6M CASEMENT SINGLE GLAZED,CARPENTRY AND JOINERY,Windows,Windows,Timber - Repairs,"Window:Renew ne 900x600mm casement with single glazed treated softwood casement, any size or profile members to match existing, hang on pair of 50mm steel butt storm hinges, decorate to match."
315009,WINDOW,RENEW FIXED SASH NE 0.9X0.6M SINGLE GLAZED,CARPENTRY AND JOINERY,Windows,Windows,Timber - Repairs,"Sash:Renew ne 900x600mm fixed sash with single glazed treated softwood sash, any size or profile members to match existing, bed in linseed oil putty, screw fixed to frame, decorate to match"
315011,WINDOW,RENEW PIVOT SASH SINGLE GLAZED,CARPENTRY AND JOINERY,Windows,Windows,Timber - Repairs,"Window:Renew pivot sash with single glazed treated softwood pivot, any size or profile to match existing and hang on new pair of pivot hinges, decorate to match existing."
315013,WINDOW,RENEW SLIDING SASH SINGLE GLAZED,CARPENTRY AND JOINERY,Windows,Windows,Timber - Repairs,"Window:Renew single glazed treated softwood sliding sash to box sash window, any size or profile to match existing, complete with cords, ease and adjust, and decorate to match existing."
315015,WINDOW,RENEW SOFTWOOD PARTING OR STAFF BEAD,CARPENTRY AND JOINERY,Windows,Windows,Timber - Repairs,Window:Renew softwood parting or staff bead to box sash window complete and decorate to match existing.
315019,WINDOW,RENEW SET OF SASH CORDS,CARPENTRY AND JOINERY,Windows,Windows,Timber - Repairs,Window:Renew set of pulley cords complete including remove and refix sliding sash pockets and beads and ease pulley (per sash).
315021,WINDOW,RENEW PULLEY WHEEL TO BOX SASH,CARPENTRY AND JOINERY,Windows,Windows,Timber - Repairs,"Window:Renew sliding sash pulley wheel including remove and refix sash and renew cords if required, touch up decorations to match existing"
315023,WINDOW,RENEW SASH WEIGHT(S) TO BOX SASH,CARPENTRY AND JOINERY,Windows,Windows,Timber - Repairs,"Box Sash:Renew weight(s) to sliding sash including remove and refix sash and renew cords if required, touch up decorations to match existing."
315025,WINDOW,RENEW SPIRAL BALANCES TO BOX SASH,CARPENTRY AND JOINERY,Windows,Windows,Timber - Repairs,"Balance:Renew any type and size of spiral balances to double hung sash unit including remove/refix sashes, beads, linings etc, renew balances, test and make good decorations to match existing."
315027,WINDOW FRAME,CUT OUT AND SPLICE NEW SECTION,CARPENTRY AND JOINERY,Windows,Windows,Timber - Repairs,"Window Frame:Cut out and splice in new section treated softwood frame any size or profile to match existing, plugged to brickwork, point with sealant, make good plasterwork, decorate to match."
